Rk,Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_FT/FGA
1,2020-21,WAS*,NBA,72,34,38,.472,-1.83,-0.01,-1.85,104.1,111.2,113.0,.531,0.569,12.3,21.3,0.221,.539,0.576,12.5,22.4,0.217
2,2020-21,UTA*,NBA,72,52,20,.722,9.25,-0.29,8.97,98.5,117.6,108.3,.563,0.597,12.7,24.5,0.195,.507,0.537,10.3,20.7,0.159
3,2020-21,TOR,NBA,72,27,45,.375,-0.47,-0.07,-0.54,99.2,112.0,112.5,.529,0.567,11.9,20.8,0.196,.543,0.584,14.4,23.7,0.234
4,2020-21,SAS,NBA,72,33,39,.458,-1.74,0.15,-1.58,98.9,111.0,112.8,.517,0.554,10.2,20.0,0.192,.541,0.570,11.8,22.7,0.174
5,2020-21,SAC,NBA,72,31,41,.431,-3.68,0.23,-3.45,100.0,113.6,117.2,.549,0.578,12.0,21.3,0.185,.557,0.591,12.1,25.0,0.199
6,2020-21,POR*,NBA,72,42,30,.583,1.79,0.01,1.81,98.4,117.8,116.0,.540,0.577,9.9,23.0,0.195,.546,0.582,11.2,22.5,0.203
7,2020-21,PHO*,NBA,72,51,21,.708,5.82,-0.15,5.67,97.2,117.2,111.3,.564,0.597,11.5,20.8,0.177,.534,0.568,12.4,21.5,0.194
8,2020-21,PHI*,NBA,72,49,23,.681,5.58,-0.31,5.28,99.5,113.2,107.6,.541,0.579,12.8,23.2,0.225,.521,0.557,13.8,21.8,0.200
9,2020-21,ORL,NBA,72,21,51,.292,-9.31,0.29,-9.02,98.7,105.1,114.5,.490,0.527,11.5,21.6,0.186,.547,0.577,11.5,21.8,0.169
10,2020-21,OKC,NBA,72,22,50,.306,-10.64,0.51,-10.13,101.0,103.5,114.0,.509,0.539,14.2,21.2,0.176,.547,0.576,11.5,22.1,0.167
