Position,Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,FT/FGA,opp_eFG%,opp_TS%,opp_TOV%,opp_ORB%,opp_FT/FGA
0,2021-22,GSW,NBA,19,17,2,0.895,13.58,-1.25,12.33,99.8,114,100.5,0.567,0.598,14.3,22.9,0.185,0.491,0.524,14.2,19.6,0.175
0,2021-22,PHO,NBA,19,16,3,0.842,7.68,-1.83,5.85,100.8,111.7,104.1,0.546,0.578,12.2,19.7,0.178,0.498,0.529,13.5,23,0.163
0,2021-22,NJN,NBA,19,14,5,0.737,4.63,-0.74,3.89,99.3,110.3,105.7,0.543,0.58,13,17.7,0.201,0.486,0.524,11.7,23.1,0.18
0,2021-22,CHA,NBA,21,13,8,0.619,0.33,0.89,1.22,101.2,110.4,110.1,0.526,0.552,11.6,22.7,0.158,0.526,0.56,13.4,25.1,0.182
0,2021-22,CHI,NBA,20,13,7,0.65,4.35,-0.8,3.55,98.5,109.7,105.3,0.525,0.563,12,20.1,0.19,0.508,0.549,14.7,21.6,0.202
0,2021-22,MIL,NBA,20,12,8,0.6,2.95,-1.63,1.32,99.5,109.4,106.5,0.534,0.561,12.8,21.5,0.168,0.501,0.53,11.5,22.1,0.153
0,2021-22,WAS,NBA,19,12,7,0.632,0.68,-0.1,0.59,97.1,106.8,106.1,0.515,0.552,13.3,20.9,0.194,0.487,0.526,10.6,21.5,0.188
0,2021-22,UTA,NBA,19,12,7,0.632,8.37,-0.88,7.49,98,113.8,105.2,0.55,0.584,13.7,24.2,0.2,0.495,0.527,11.1,20.8,0.161
0,2021-22,MIA,NBA,19,12,7,0.632,6.42,-0.59,5.84,96.5,111.6,105,0.53,0.57,13.6,25.1,0.208,0.511,0.545,14,20.4,0.182
0,2021-22,LAC,NBA,19,11,8,0.579,3.47,-0.26,3.21,99.5,106,102.5,0.518,0.551,13.3,19.5,0.164,0.491,0.522,13.7,23.5,0.146
0,2021-22,ATL,NBA,20,11,9,0.55,3.20,0.16,3.36,97.6,114.1,110.9,0.536,0.569,11.2,24.2,0.175,0.522,0.552,11.3,22.3,0.152
0,2021-22,NYK,NBA,19,10,9,0.526,-0.32,-1.31,-1.62,97.3,108.4,108.8,0.516,0.55,12.8,22.8,0.184,0.509,0.544,12,23.1,0.176
0,2021-22,BOS,NBA,20,10,10,0.5,1.15,-1.25,-0.1,96.8,107.3,106.1,0.502,0.54,12.3,22.6,0.186,0.507,0.544,12.9,20.9,0.192
0,2021-22,POR,NBA,20,10,10,0.5,0.55,1.23,1.78,98,112.9,112.3,0.538,0.57,12.3,23.5,0.177,0.553,0.577,12.6,20.6,0.159
0,2021-22,DAL,NBA,17,10,7,0.588,-1.29,0.19,-1.11,96.6,107.1,108.5,0.508,0.538,11.1,21,0.164,0.53,0.558,12.7,20.3,0.158
0,2021-22,PHI,NBA,19,10,9,0.526,0.95,0.57,1.52,95.8,111.8,110.8,0.534,0.57,11.8,20.1,0.185,0.519,0.553,12.1,24.8,0.177
0,2021-22,LAL,NBA,21,10,11,0.476,-3.14,-0.96,-4.11,101.5,106,109,0.523,0.555,13.9,21.3,0.18,0.523,0.553,13.4,23.9,0.185
0,2021-22,MIN,NBA,19,9,10,0.474,1.58,-1,0.58,99.3,108,106.5,0.503,0.534,13.7,28.1,0.159,0.505,0.547,15.7,28.6,0.215
0,2021-22,DEN,NBA,19,9,10,0.474,-0.74,0.81,0.07,95.9,107.2,107.9,0.522,0.547,12.8,21.1,0.141,0.531,0.559,13.2,21.5,0.161
0,2021-22,MEM,NBA,19,9,10,0.474,-6.63,1.46,-5.17,98.9,109.8,116.4,0.508,0.539,11.7,27.1,0.159,0.564,0.593,12.8,22.9,0.17
0,2021-22,TOR,NBA,20,9,11,0.45,-0.25,0.64,0.39,96,110.8,111.1,0.501,0.534,11.4,29.1,0.166,0.546,0.58,15.3,24.3,0.189
0,2021-22,CLE,NBA,19,9,10,0.474,-0.53,1.28,0.76,97,106.1,106.7,0.51,0.545,14.4,24,0.183,0.512,0.543,13.2,24.2,0.151
0,2021-22,IND,NBA,21,9,12,0.429,2.29,0.21,2.49,97.7,109,106.7,0.528,0.556,13.2,23.2,0.153,0.504,0.541,12,21.2,0.195
0,2021-22,SAC,NBA,20,8,12,0.4,-1.70,1.13,-0.57,99.5,109.6,111.2,0.517,0.551,12.4,23.4,0.187,0.521,0.554,11.9,25.4,0.18
0,2021-22,OKC,NBA,19,6,13,0.316,-6.95,1.09,-5.86,98.4,100.7,107.7,0.477,0.506,12.7,21.9,0.151,0.515,0.547,11.9,21.1,0.156
0,2021-22,NOH,NBA,21,5,16,0.238,-6.95,1.79,-5.16,97.6,104.2,111.4,0.486,0.526,13.9,25.2,0.182,0.531,0.565,11.9,22.3,0.186
0,2021-22,SAS,NBA,18,5,13,0.278,-2.89,-1.15,-4.03,100.7,105.3,108.2,0.515,0.535,11.7,20.3,0.123,0.534,0.561,13.8,22.4,0.15
0,2021-22,ORL,NBA,20,4,16,0.2,-11.05,0.67,-10.38,99,101.2,112.3,0.485,0.517,13.9,21.9,0.162,0.533,0.563,11.7,23.9,0.183
0,2021-22,DET,NBA,19,4,15,0.211,-9.42,1.24,-8.18,98.2,100.5,110.1,0.467,0.507,13.3,22.7,0.19,0.55,0.582,15.2,23.2,0.186
0,2021-22,HOU,NBA,18,2,16,0.111,-10.33,0.07,-10.26,102.6,98.6,108.7,0.496,0.528,16.5,20.4,0.194,0.524,0.558,12.7,21.8,0.181
